ID,NOMBRE,HORAS TRABAJADAS,SALARIO
1,LOU,120,10000.000000
2,ULRIKE,180,25000.000000
3,BRADE,325,20000.000000
4,KIMBELL,120,50000.000000
5,SHEELAGH,220,18000.000000
6,GAYLE,120,30000.000000
7,KIMBERLEE,60,33000.000000
8,HENRIETA,90,30000.000000
9,JEANINE,325,18000.000000
10,AGGIE,75,15000.000000
11,BRANDEA,180,15000.000000
12,CORDELIE,325,50000.000000
13,SHEL,120,50000.000000
14,BRONNIE,60,20000.000000
15,MEGEN,180,10000.000000
16,IVER,90,12000.000000
17,ERNESTA,60,37000.000000
18,CIRILLO,88,50000.000000
19,PARK,120,30000.000000
20,BELLANCA,88,15000.000000
21,BOBBYE,180,15000.000000
22,EUGENE,88,50000.000000
23,JOHNNY,325,33000.000000
24,REAGEN,90,42000.000000
25,BRADEN,180,25000.000000
26,KARIM,75,25000.000000
27,ANTHEA,90,42000.000000
28,DORO,120,33000.000000
29,GAYE,120,37000.000000
30,TOBY,180,15000.000000
31,FRANNY,325,15000.000000
32,KATEY,180,42000.000000
33,EARLE,90,10000.000000
34,REDD,88,42000.000000
35,JEHANNA,220,50000.000000
36,CRISTIE,180,10000.000000
37,STEFA,88,42000.000000
38,RODA,90,25000.000000
39,ALFREDO,88,10000.000000
40,SYDNEY,75,10000.000000
41,BRNABA,180,30000.000000
42,AME,88,50000.000000
43,BRADNEY,88,25000.000000
44,MARGARETE,120,50000.000000
45,NIKOLETTA,120,50000.000000
46,LONNARD,75,50000.000000
47,RAINE,180,30000.000000
48,NOELLA,120,15000.000000
49,DAGMAR,88,25000.000000
50,CARROLL,220,42000.000000
51,MARION,88,50000.000000
52,CARLINE,220,12000.000000
53,HYACINTHIE,75,15000.000000
54,JULINA,120,33000.000000
55,CORINA,220,37000.000000
56,BERNARDINE,75,33000.000000
57,HOMER,180,18000.000000
58,LIANNA,220,12000.000000
59,CELENE,120,50000.000000
60,KORI,90,50000.000000
61,DEEYN,88,20000.000000
62,MARYSA,75,20000.000000
63,LOY,120,15000.000000
64,GABBEY,120,37000.000000
65,STAR,90,33000.000000
66,DOMINICA,120,33000.000000
67,BLANCH,75,15000.000000
68,CRISTOBAL,120,15000.000000
69,PAULITA,120,50000.000000
70,SAYRE,180,33000.000000
71,SHAUGHN,90,15000.000000
72,KATRINE,90,25000.000000
73,CRISTI,88,42000.000000
74,CRISTIE,90,25000.000000
75,SOLOMON,90,10000.000000
76,NANANNE,120,33000.000000
77,SACHA,90,25000.000000
78,MORSE,180,25000.000000
79,ROLAND,180,25000.000000
80,JESSELYN,180,30000.000000
81,KYLILA,325,12000.000000
82,KENDRE,180,25000.000000
83,LESYA,90,15000.000000
84,TATIANIA,120,20000.000000
85,TRENTON,88,12000.000000
86,ANGIE,90,20000.000000
87,JOELLE,90,37000.000000
88,GEORGE,60,30000.000000
89,GUENEVERE,90,30000.000000
90,MARGARETHA,75,10000.000000
91,SULLY,60,15000.000000
92,LONNI,220,50000.000000
93,NICKY,180,42000.000000
94,MY,90,18000.000000
95,KYRSTIN,90,37000.000000
96,MARTINO,75,15000.000000
97,MARCELLUS,88,50000.000000
98,JACQUELIN,120,30000.000000
99,ALEDA,90,50000.000000
100,GEORGETA,88,10000.000000
101,MARCILLE,88,10000.000000
102,ERTHA,88,10000.000000
103,DESIRI,120,25000.000000
104,GENEVA,90,33000.000000
105,KILIAN,120,42000.000000
106,NANCE,75,10000.000000
107,GAVEN,180,10000.000000
108,CARLIE,220,10000.000000
109,TRIXIE,325,42000.000000
110,DOMINICK,75,30000.000000
111,PETEY,120,15000.000000
112,TERSINA,75,30000.000000
113,JOHNATHON,90,15000.000000
114,FREDDIE,180,12000.000000
115,HARMON,220,50000.000000
116,TRACEY,75,20000.000000
117,CHERRITA,180,33000.000000
118,STU,60,12000.000000
119,GLENDA,220,37000.000000
120,LORETTALORNA,220,25000.000000
121,PATRIZIO,60,15000.000000
122,LINDA,88,30000.000000
123,PIPPA,325,20000.000000
124,PEN,60,18000.000000
125,ESTEBAN,88,15000.000000
126,FONZIE,325,15000.000000
127,CINDELYN,60,12000.000000
128,ZACHARIE,75,30000.000000
129,VINA,88,42000.000000
130,OMERO,75,10000.000000
131,TOM,75,33000.000000
132,DANTE,60,30000.000000
133,CORDY,120,18000.000000
134,STEPHENIE,220,50000.000000
135,DUNSTAN,325,20000.000000
136,GIDEON,180,15000.000000
137,JOHNETTE,220,10000.000000
138,BRYNN,75,50000.000000
139,YANKEE,88,42000.000000
140,CORBIN,120,42000.000000
141,COREEN,60,18000.000000
142,TANYA,88,30000.000000
143,JENNA,60,25000.000000
144,FLORA,90,33000.000000
145,DIANNA,90,20000.000000
146,ARMAND,60,15000.000000
147,GUSTIE,180,42000.000000
148,BENTON,180,12000.000000
149,LENA,325,25000.000000
150,DOT,180,18000.000000
151,MERYL,220,12000.000000
152,BABBIE,120,15000.000000
153,BYRAM,90,42000.000000
154,BERTINE,60,25000.000000
155,OSBERT,120,42000.000000
156,TANNY,325,42000.000000
157,MARYJO,60,12000.000000
158,CLARIE,60,42000.000000
159,KIPP,90,15000.000000
160,LEONIE,325,50000.000000
161,FERDIE,120,15000.000000
162,OFELLA,90,50000.000000
163,PASCALE,220,15000.000000
164,CATHRIN,120,30000.000000
165,SIB,60,33000.000000
166,DARLEEN,220,42000.000000
167,DIDI,60,15000.000000
168,LODOVICO,60,18000.000000
169,FARLEY,325,12000.000000
170,DEVI,60,25000.000000
171,CLAIR,180,37000.000000
172,ADDY,325,33000.000000
173,BRANDON,90,18000.000000
174,PRENTISS,60,30000.000000
175,LORANT,88,50000.000000
176,WANIDS,325,30000.000000
177,ROBBI,75,10000.000000
178,MELLICENT,75,50000.000000
179,LYNEA,90,20000.000000
180,NIAL,325,15000.000000
181,GUILLAUME,60,37000.000000
182,LOUTITIA,88,25000.000000
183,RUTHE,325,30000.000000
184,ERIC,60,50000.000000
185,MARCELLUS,180,30000.000000
186,IAN,75,42000.000000
187,SEBASTIEN,75,37000.000000
188,SCARFACE,220,50000.000000
189,MAIBLE,75,18000.000000
190,WALDON,90,30000.000000
191,BETHINA,75,15000.000000
192,FARAND,88,42000.000000
193,ZOLLY,88,25000.000000
194,PHILIPA,325,42000.000000
195,RODERIGO,88,20000.000000
196,OTHO,90,20000.000000
197,ALASTEIR,120,20000.000000
198,ELEONORA,120,42000.000000
199,ELIOT,60,12000.000000
200,ALANA,220,30000.000000
201,ODEY,60,20000.000000
202,YORKE,88,15000.000000
203,CISSIEE,180,18000.000000
204,JILLANA,180,18000.000000
205,MALLORIE,88,30000.000000
206,BORDEN,88,12000.000000
207,MADDIE,60,33000.000000
208,WEIDER,88,50000.000000
209,ASIA,325,37000.000000
210,SAYRES,88,10000.000000
211,MARCILE,120,30000.000000
212,THOMASINA,60,42000.000000
213,DARWIN,220,18000.000000
214,NICOLINA,90,30000.000000
215,NITA,60,12000.000000
216,NIKOLETTA,120,12000.000000
217,DWIGHT,220,42000.000000
218,ROMOLA,88,50000.000000
219,KAILE,325,33000.000000
220,MOZES,220,25000.000000
221,AYLMER,325,33000.000000
222,MARINA,120,12000.000000
223,ENRICO,325,50000.000000
224,ZONDA,325,33000.000000
225,ADRIANO,220,33000.000000
226,TRULA,88,30000.000000
227,ADEL,180,30000.000000
228,JENIECE,180,15000.000000
229,TABINA,60,10000.000000
230,LIANA,60,33000.000000
231,MARMADUKE,220,10000.000000
232,ALLA,88,30000.000000
233,PETER,120,12000.000000
234,PIETRO,75,18000.000000
235,HIRAM,88,20000.000000
236,ANASTASIA,180,18000.000000
237,CATHLEEN,180,10000.000000
238,LEEANNE,120,15000.000000
239,CHET,325,42000.000000
240,BILLIE,75,37000.000000
241,ALEXANDRA,75,42000.000000
242,BRODDIE,90,42000.000000
243,BRIGHAM,180,25000.000000
244,CAL,120,42000.000000
245,DONAL,75,18000.000000
246,ADAM,220,20000.000000
247,DOTTY,180,42000.000000
248,MAYNARD,120,18000.000000
249,JESSEE,90,30000.000000
250,TIPHANI,88,42000.000000
251,JENNA,180,30000.000000
252,KARLOTTE,88,20000.000000
253,NORENE,220,25000.000000
254,MORRIS,88,10000.000000
255,YURI,75,25000.000000
256,GUSTY,120,10000.000000
257,JORI,180,12000.000000
258,SYDELLE,220,30000.000000
259,MERRILE,180,50000.000000
260,TADD,60,50000.000000
261,JOSIAH,88,10000.000000
262,MELISA,88,12000.000000
263,ORELEE,90,20000.000000
264,STEPHEN,120,37000.000000
265,BLAIR,180,50000.000000
266,AREL,88,30000.000000
267,ABBIE,75,25000.000000
268,CHANNA,325,50000.000000
269,SHIRL,75,20000.000000
270,EDLIN,88,20000.000000
271,LARINA,60,18000.000000
272,DUNCAN,60,37000.000000
273,BOND,180,10000.000000
274,DYANN,75,50000.000000
275,CHARMIAN,60,15000.000000
276,DRU,75,50000.000000
277,KIEL,75,50000.000000
278,EMORY,220,15000.000000
279,ALBERIK,88,50000.000000
280,KOENRAAD,180,20000.000000
281,RAFAELLLE,180,50000.000000
282,EDIE,325,25000.000000
283,OSBERT,325,15000.000000
284,SIDONIA,60,10000.000000
285,BARTEL,60,37000.000000
286,JODI,90,30000.000000
287,OFELIA,120,30000.000000
288,DUDLEY,90,42000.000000
289,DULCEA,75,25000.000000
290,GORDON,60,25000.000000
291,CHALMERS,220,10000.000000
292,CHRISTIANO,60,50000.000000
293,RUSSELL,220,50000.000000
294,CLEO,120,50000.000000
295,CATRIONA,60,42000.000000
296,LEIGH,90,37000.000000
297,DDENE,220,12000.000000
298,SAYRE,90,18000.000000
299,JODY,180,33000.000000
300,ZABRINA,88,12000.000000
301,COS,75,30000.000000
302,RON,120,20000.000000
303,CHARIN,180,12000.000000
304,COLEMAN,220,33000.000000
305,JACINDA,60,50000.000000
306,SILVAN,75,12000.000000
307,RENIE,90,33000.000000
308,DAVIDE,325,42000.000000
309,ERNESTUS,60,12000.000000
310,BRNABA,90,37000.000000
311,TABOR,120,37000.000000
312,LENCI,90,42000.000000
313,FRANCHOT,220,12000.000000
314,CHARISSE,180,50000.000000
315,TIMOTHEA,220,20000.000000
316,ANGELIKA,220,50000.000000
317,WEB,90,37000.000000
318,URBAN,88,10000.000000
319,FAN,90,18000.000000
320,DONAUGH,120,12000.000000
321,WILONA,90,25000.000000
322,RICHARD,90,42000.000000
323,HILARY,90,37000.000000
324,AD,90,33000.000000
325,MAYNORD,220,42000.000000
326,LINA,120,12000.000000
327,NERTY,220,20000.000000
328,MATIAS,60,33000.000000
329,URBANO,60,50000.000000
330,ROSEMARIE,220,33000.000000
331,BOOTH,88,15000.000000
332,EDEN,75,18000.000000
333,CORNIE,75,15000.000000
334,ISAK,220,20000.000000
335,RAND,88,20000.000000
336,DOMINIQUE,220,37000.000000
337,LIRA,60,30000.000000
338,FILBERT,325,20000.000000
339,NONA,75,30000.000000
340,MELLONEY,325,33000.000000
341,RAFAELLO,180,37000.000000
342,FLORIA,60,12000.000000
343,JOHANNES,88,18000.000000
344,GENEVRA,90,10000.000000
345,ALDRIC,220,50000.000000
346,JANETA,120,10000.000000
347,TARRA,75,12000.000000
348,JEFFEREY,220,33000.000000
349,CASSIE,88,50000.000000
350,MAIGA,120,20000.000000
351,HEDDI,325,20000.000000
352,MARIEANN,325,50000.000000
353,CARITA,180,42000.000000
354,KURTIS,88,50000.000000
355,WILFRED,180,20000.000000
356,ISABELLE,120,20000.000000
357,NISSE,220,37000.000000
358,ULA,75,50000.000000
359,TULLY,88,18000.000000
360,HONOR,120,30000.000000
361,SINCLAIR,60,50000.000000
362,BUDDY,120,50000.000000
363,NEILLA,180,50000.000000
364,JUNIE,90,20000.000000
365,NEELY,120,20000.000000
366,KLARRISA,180,18000.000000
367,MARYELLEN,120,37000.000000
368,CLYWD,220,33000.000000
369,DENI,60,42000.000000
370,INGRIM,120,30000.000000
371,FRANNI,325,42000.000000
372,ANDY,75,37000.000000
373,VERONICA,75,42000.000000
374,DALIS,60,42000.000000
375,NANNI,180,25000.000000
376,VIKKY,90,15000.000000
377,HUSSEIN,325,25000.000000
378,BRIGG,220,10000.000000
379,CRAWFORD,180,12000.000000
380,FRAN,220,30000.000000
381,SILAS,90,15000.000000
382,ALISTER,90,33000.000000
383,GEORGE,325,15000.000000
384,NONNAH,120,25000.000000
385,GAYEL,90,20000.000000
386,DEMETER,88,10000.000000
387,JULIANN,90,50000.000000
388,SHAUNA,120,25000.000000
389,ANNA-MARIA,120,42000.000000
390,AG,88,50000.000000
391,SHERWIN,88,50000.000000
392,VIKKI,88,33000.000000
393,BARRET,60,10000.000000
394,GAELAN,90,25000.000000
395,LIVY,60,20000.000000
396,IORGOS,90,18000.000000
397,CHARIL,88,33000.000000
398,EASTER,88,30000.000000
399,ESDRAS,120,37000.000000
400,PRINCE,60,25000.000000
401,VAIL,120,33000.000000
402,RACHEL,325,12000.000000
403,BAR,88,20000.000000
404,WILLA,325,30000.000000
405,AMERIGO,88,33000.000000
406,FREDRIC,325,50000.000000
407,MIKAEL,220,50000.000000
408,BENSON,120,20000.000000
409,SILEAS,120,20000.000000
410,FIDELIA,60,12000.000000
411,FRAYDA,60,30000.000000
412,BABITA,90,30000.000000
413,CLAIR,75,42000.000000
414,MORIE,180,12000.000000
415,SKYLAR,325,20000.000000
416,DENNIE,75,42000.000000
417,SIBLEY,60,20000.000000
418,ADDIA,75,20000.000000
419,ED,180,18000.000000
420,LOTHAIRE,180,12000.000000
421,NEILA,120,15000.000000
422,JENNIFER,220,15000.000000
423,KEELBY,325,15000.000000
424,CHUCK,325,33000.000000
425,JORDAN,90,33000.000000
426,MINNNIE,180,20000.000000
427,CARINE,180,33000.000000
428,KELLY,325,37000.000000
429,COLEMAN,90,25000.000000
430,PINCUS,88,42000.000000
431,SMITTY,220,15000.000000
432,WADE,325,12000.000000
433,EMMIT,180,12000.000000
434,BRIETTA,75,42000.000000
435,WESLEY,60,10000.000000
436,FELICDAD,120,18000.000000
437,ANY,60,18000.000000
438,GARDIE,90,12000.000000
439,LEELAH,325,25000.000000
440,GAROLD,60,20000.000000
441,REGINE,180,10000.000000
442,TAM,220,20000.000000
443,DAVON,220,20000.000000
444,CHRISSY,180,18000.000000
445,OZZIE,120,20000.000000
446,RINA,325,20000.000000
447,GUY,180,42000.000000
448,LENORA,60,18000.000000
449,JULIETTA,220,42000.000000
450,ALEXANDR,220,18000.000000
451,MARGALIT,75,15000.000000
452,SAMARA,88,50000.000000
453,PORTIE,220,15000.000000
454,KORELLA,325,33000.000000
455,HILLY,325,30000.000000
456,LEEANNE,75,10000.000000
457,ARNALDO,180,10000.000000
458,KASSI,325,37000.000000
459,KAREN,60,20000.000000
460,MAC,325,20000.000000
461,ANTHIA,60,37000.000000
462,MARSIELLA,120,20000.000000
463,SHEA,120,12000.000000
464,LIANA,90,15000.000000
465,CARLEY,120,12000.000000
466,CARLYE,120,37000.000000
467,SVEND,60,25000.000000
468,KENDELL,90,25000.000000
469,CHRISY,60,15000.000000
470,ROD,75,50000.000000
471,RAMSAY,90,20000.000000
472,SAIDEE,325,50000.000000
473,EREK,180,10000.000000
474,SALOMI,60,10000.000000
475,COLETTA,90,50000.000000
476,ABIGAEL,90,12000.000000
477,MARIELE,60,33000.000000
478,BROOKE,88,20000.000000
479,BENITA,90,25000.000000
480,MARISSA,90,37000.000000
481,LIONELLO,60,37000.000000
482,TORI,120,42000.000000
483,MICHEIL,220,37000.000000
484,KYM,120,20000.000000
485,MELISSE,220,10000.000000
486,BARTHOLOMEW,120,33000.000000
487,RORIE,220,25000.000000
488,HEDVIGE,220,37000.000000
489,DOROTHEA,75,15000.000000
490,TAMARAH,88,50000.000000
491,SKIPTON,75,10000.000000
492,MINNY,90,33000.000000
493,JOSHIA,75,33000.000000
494,MIRILLA,180,30000.000000
495,WILLEY,220,15000.000000
496,CONRADO,220,50000.000000
497,FREDIA,220,30000.000000
498,GRETCHEN,180,12000.000000
499,BIBBIE,60,37000.000000
500,WARREN,220,25000.000000
501,GABI,220,30000.000000
502,CALLIE,220,50000.000000
503,PATTON,60,15000.000000
504,KARIE,75,25000.000000
505,MARTGUERITA,90,50000.000000
506,LOTHAIRE,60,20000.000000
507,PATRICE,220,37000.000000
508,LIN,120,12000.000000
509,CORNIE,180,42000.000000
510,IRENA,180,20000.000000
511,MARKOS,60,20000.000000
512,BIRD,75,18000.000000
513,LORNA,325,42000.000000
514,VINCENTS,90,25000.000000
515,TORREY,325,42000.000000
516,PERNELL,325,50000.000000
517,DANYA,180,25000.000000
518,ERDA,325,37000.000000
519,ETHE,325,20000.000000
520,COOP,90,37000.000000
521,SHERIDAN,120,50000.000000
522,CHARLES,180,42000.000000
523,EDDY,88,12000.000000
524,JANEY,120,42000.000000
525,EDAN,88,20000.000000
526,HOMER,325,10000.000000
527,EVELINE,325,37000.000000
528,HELEN-ELIZABETH,220,20000.000000
529,DAVETA,180,20000.000000
530,MORT,90,42000.000000
531,MAXI,75,37000.000000
532,NATHALIE,120,37000.000000
533,DENNISON,325,25000.000000
534,BUNNIE,120,33000.000000
535,FRANS,88,33000.000000
536,DELMAR,325,42000.000000
537,CED,90,20000.000000
538,CAREN,75,12000.000000
539,CHRISTIE,88,18000.000000
540,SAUNDERS,325,25000.000000
541,DENY,180,18000.000000
542,GENE,90,15000.000000
543,MARGEAUX,220,18000.000000
544,PRISCA,180,18000.000000
545,DOMINI,88,18000.000000
546,HENRIE,75,50000.000000
547,MARJ,120,18000.000000
548,MAB,120,25000.000000
549,JOSIAH,120,12000.000000
550,MATHE,180,12000.000000
551,GAUTHIER,88,12000.000000
552,DELMORE,180,33000.000000
553,LYNETT,120,37000.000000
554,LUCAIS,90,42000.000000
555,CLARICE,180,33000.000000
556,AERIELA,120,37000.000000
557,BABBIE,75,15000.000000
558,CAREN,90,15000.000000
559,JESSAMINE,325,18000.000000
560,HESTHER,88,15000.000000
561,SASHA,88,15000.000000
562,ERICA,120,10000.000000
563,KEITH,120,10000.000000
564,BRINEY,88,12000.000000
565,RUTHERFORD,90,15000.000000
566,LEMMIE,325,18000.000000
567,DUR,220,25000.000000
568,MODESTA,120,33000.000000
569,CARTER,88,33000.000000
570,RETHA,220,15000.000000
571,CARMA,220,33000.000000
572,ANTONELLA,90,15000.000000
573,SUTHERLAN,75,10000.000000
574,PHILLIPE,88,37000.000000
575,FLORIDA,180,37000.000000
576,CORRINA,75,15000.000000
577,ADRIANNE,220,10000.000000
578,SCARLETT,325,20000.000000
579,SHEL,120,25000.000000
580,DELANEY,88,50000.000000
581,TIPHANI,220,33000.000000
582,GRIER,88,42000.000000
583,ANNABELL,180,15000.000000
584,BASIL,120,12000.000000
585,HORATIUS,180,18000.000000
586,UMEKO,220,30000.000000
587,HAYES,220,10000.000000
588,LYNNETTE,220,37000.000000
589,HESTHER,180,33000.000000
590,TRUMAINE,325,15000.000000
591,EMLYN,325,50000.000000
592,CORABELLE,220,37000.000000
593,VIC,220,25000.000000
594,CYNDIA,88,33000.000000
595,GRAY,120,42000.000000
596,DYLAN,120,30000.000000
597,ISABELLE,60,20000.000000
598,EACHELLE,180,37000.000000
599,HOWARD,88,18000.000000
600,CORNALL,75,18000.000000
601,EMMALEE,90,18000.000000
602,BRIAN,180,20000.000000
603,CAHRA,325,50000.000000
604,ARVIN,220,50000.000000
605,MINDA,90,15000.000000
606,DEDIE,88,33000.000000
607,LYDIA,325,15000.000000
608,JOSHIA,220,25000.000000
609,BERNITA,325,15000.000000
610,SAYRE,90,33000.000000
611,PEARLA,220,20000.000000
612,FIDOLE,75,30000.000000
613,EVIN,325,12000.000000
614,FREDIA,60,20000.000000
615,IDALINA,120,50000.000000
616,HETTI,75,30000.000000
617,KIRK,180,30000.000000
618,ORSON,180,25000.000000
619,LYNDSAY,180,42000.000000
620,LISSY,60,37000.000000
621,ODESSA,120,50000.000000
622,HESTIA,180,18000.000000
623,DOROTEA,88,10000.000000
624,GIRAUD,90,15000.000000
625,TONYA,180,37000.000000
626,MENARD,88,37000.000000
627,NICOLA,75,12000.000000
628,MADDY,60,25000.000000
629,MACE,88,18000.000000
630,LYNDY,180,37000.000000
631,IVONNE,90,20000.000000
632,JOSEPHA,88,20000.000000
633,SHANDRA,120,50000.000000
634,VIVA,88,25000.000000
635,SHERWIN,180,10000.000000
636,ABIGAIL,90,18000.000000
637,ROSALIA,60,18000.000000
638,MERISSA,60,25000.000000
639,MARYLEE,60,50000.000000
640,WOLFY,120,33000.000000
641,MAIA,220,10000.000000
642,ELINOR,60,33000.000000
643,NERON,180,42000.000000
644,MALACHI,60,25000.000000
645,SARAJANE,60,10000.000000
